ICAO,IATA,Name,Municipality,Country,
YPAD,ADL,Adelaide International Airport,Adelaide,Australia,"-34.93820229001332, 138.53727075476155"
PGUM,GUM,Antonio B. Won Pat International Airport,"Hagåtña, Guam International Airport",Guam,"13.48566615657194, 144.80008405435592"
NZAA,AKL,Auckland International Airport,Auckland,New Zealand,"-37.00272633353349, 174.78839395563486"
YBBN,BNE,Brisbane International Airport,Brisbane,Australia,"-27.394195331469902, 153.1217766546312"
YSCB,CBR,Canberra International Airport,Canberra,Australia,"-35.30521516899937, 149.1933397547682"
NZCH,CHC,Christchurch International Airport,Christchurch,New Zealand,"-43.492402748820886, 172.5377711577674"
NTAA,PPT,Faa'a International Airport,Papeete,French Polynesia,"-17.55984413017843, -149.6104410455043"
YMML,MEL,Melbourne International Airport,Melbourne,Australia,"28.10128481079755, -80.64513164555059"
YPPH,PER,Perth International Airport,Perth,Australia,"11.069251796249334, -88.73155077038668"
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,"-9.440994726203987, 147.21821915441518"
NCRG,RAR,Rarotonga International Airport,Avarua,Cook Islands,"-21.20118658293828, -159.80267954370004"
YSSY,SYD,Sydney Airport,Sydney,Australia,"-33.92988848172034, 150.95379155912082"
NZWN,WLG,Wellington International Airport,Wellington,New Zealand,"-41.32903106606786, 174.8097879548876"